model_name,developer_company,release_year,model_version,model_description,primary_use_case,supports_multilingual,supports_code_generation,supports_reasoning,supports_chat,access_type,license_type,commercial_use_allowed,training_scale,estimated_parameters,compute_intensity,model_category
Aurora-3,Meta AI,2023,v3.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,1,Open,Research,1,Medium,246102343,Medium,Research
Cosmos-7,Meta AI,2019,v2.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,API,Open,1,Small,204877144,Medium,Enterprise
Aurora-3,Mistral AI,2025,v1.6,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,API,Commercial,0,Large,282759468,High,Open-Source
Nimbus-4,Baidu,2019,v4.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,API,Open,0,Small,85249742,High,Open-Source
Cosmos-3,Google AI,2025,v3.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,API,Open,1,Medium,127164667,Low,Enterprise
Cosmos-8,Google AI,2025,v4.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,0,Closed,Commercial,0,Large,295795170,Low,Enterprise
Nimbus-5,AI Labs,2021,v4.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,1,Closed,Open,1,Large,196042275,High,Research
Neptune-2,Anthropic,2018,v3.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,Open,Commercial,0,Large,220693353,Low,Enterprise
Nimbus-4,Anthropic,2019,v4.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,0,Closed,Research,0,Medium,246558247,High,Enterprise
Vertex-3,Mistral AI,2018,v5.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,API,Research,0,Medium,173788555,High,Open-Source
Helios-4,DeepMind,2024,v3.4,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,API,Open,1,Large,295101091,Medium,Enterprise
Vertex-4,Anthropic,2021,v5.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,API,Research,1,Large,258896639,High,Open-Source
Helios-9,DeepMind,2024,v1.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,Open,Open,0,Small,144332864,Low,Open-Source
Orion-3,OpenAI,2022,v2.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,0,API,Open,0,Large,209781937,Low,Enterprise
Orion-1,Cohere,2024,v4.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,API,Commercial,0,Large,198429508,High,Open-Source
Nimbus-4,Anthropic,2022,v4.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,0,Closed,Research,1,Medium,299821611,Medium,Open-Source
Atlas-5,OpenAI,2023,v4.2,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,0,API,Open,1,Medium,296364996,Medium,Research
Zenith-9,Anthropic,2020,v5.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,0,Closed,Research,0,Large,179178605,Medium,Research
Orion-4,NeuralWorks,2025,v5.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,0,API,Open,0,Small,173301745,Medium,Enterprise
Helios-5,AI Labs,2022,v1.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,0,Closed,Open,0,Medium,276895116,Low,Research
Atlas-9,AI Labs,2018,v1.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,0,API,Open,1,Large,39719394,High,Research
Atlas-1,Mistral AI,2023,v1.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,1,API,Research,0,Medium,219846181,Medium,Open-Source
Helios-7,Baidu,2018,v4.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,Closed,Open,0,Medium,162786429,High,Enterprise
Orion-8,Cohere,2024,v1.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,1,API,Commercial,0,Medium,201322916,Low,Research
Vertex-3,Google AI,2018,v1.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,0,API,Open,1,Small,222542194,High,Open-Source
Atlas-3,Meta AI,2021,v5.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,0,API,Commercial,0,Medium,37165104,Medium,Open-Source
Nova-8,Baidu,2023,v2.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,0,Closed,Commercial,1,Medium,165108279,High,Research
Atlas-6,Baidu,2024,v2.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,Closed,Commercial,0,Large,179006503,Medium,Open-Source
Cosmos-6,DeepMind,2025,v5.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,0,API,Research,1,Large,42050426,High,Enterprise
Aurora-9,OpenAI,2024,v5.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,0,Closed,Commercial,0,Large,157228984,Low,Research
Vertex-9,Google AI,2024,v3.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,Closed,Research,0,Large,79490018,High,Enterprise
Cosmos-6,OpenAI,2021,v4.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,0,Open,Open,0,Large,194945351,Medium,Open-Source
Cosmos-1,OpenAI,2023,v1.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,API,Commercial,1,Large,42788673,High,Enterprise
Helios-4,AI Labs,2024,v3.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,Closed,Research,0,Small,277242240,High,Enterprise
Nova-3,Meta AI,2020,v3.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,API,Research,1,Large,258061655,Medium,Enterprise
Nimbus-3,Cohere,2018,v2.0,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,0,API,Research,0,Small,139652089,Low,Research
Helios-1,DeepMind,2019,v2.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,Closed,Open,0,Large,98648309,High,Open-Source
Vertex-5,Meta AI,2023,v4.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,Open,Research,0,Small,281628515,High,Open-Source
Helios-3,NeuralWorks,2019,v2.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,1,API,Research,0,Large,232658093,High,Open-Source
Zenith-1,AI Labs,2024,v2.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,Open,Commercial,1,Small,45999221,Medium,Enterprise
Vertex-7,DeepMind,2021,v1.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,API,Commercial,1,Medium,58221430,Low,Open-Source
Nimbus-5,DeepMind,2024,v5.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,API,Open,1,Small,199756573,High,Enterprise
Cosmos-5,DeepMind,2023,v4.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,Open,Research,1,Medium,296588352,High,Open-Source
Aurora-3,Cohere,2018,v1.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,Closed,Research,1,Small,21269742,High,Open-Source
Helios-9,DeepMind,2018,v2.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,Open,Research,0,Large,91990435,High,Enterprise
Zenith-4,OpenAI,2020,v1.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,1,API,Research,0,Large,37838562,Low,Research
Orion-9,NeuralWorks,2023,v3.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,API,Research,1,Small,219578737,High,Open-Source
Vertex-2,AI Labs,2022,v3.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,1,API,Commercial,0,Medium,247342374,High,Research
Nimbus-1,Mistral AI,2019,v3.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,Closed,Commercial,0,Large,142384791,Low,Enterprise
Neptune-7,Baidu,2019,v5.2,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,0,API,Commercial,0,Large,103095397,Medium,Enterprise
Nova-4,Anthropic,2022,v2.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,Open,Research,0,Large,265497432,High,Open-Source
Vertex-1,Mistral AI,2023,v5.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,0,API,Commercial,1,Small,69851523,Low,Research
Helios-8,AI Labs,2018,v5.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,0,API,Open,1,Medium,5519706,Low,Open-Source
Nova-7,NeuralWorks,2019,v3.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,0,Closed,Commercial,1,Medium,99737902,Medium,Open-Source
Nova-7,Baidu,2023,v4.4,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,0,Open,Open,1,Small,299145919,Medium,Enterprise
Nova-3,Meta AI,2025,v1.2,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,Closed,Commercial,1,Large,26613737,Medium,Enterprise
Atlas-1,Anthropic,2022,v4.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,1,Closed,Open,1,Medium,11649013,Medium,Research
Zenith-4,NeuralWorks,2020,v3.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,0,Closed,Open,1,Medium,78764857,Low,Research
Zenith-7,NeuralWorks,2024,v1.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,1,Closed,Open,1,Large,144598146,High,Open-Source
Helios-5,Mistral AI,2023,v5.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,Open,Research,0,Large,136101957,High,Open-Source
Neptune-4,Meta AI,2024,v1.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,0,Closed,Open,0,Small,141902987,High,Open-Source
Neptune-7,DeepMind,2021,v2.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,0,Open,Research,1,Medium,256633628,Medium,Research
Orion-9,Mistral AI,2020,v5.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,1,Closed,Open,0,Small,238221947,Medium,Open-Source
Helios-5,Meta AI,2022,v1.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,1,API,Research,1,Medium,161852172,Low,Enterprise
Orion-4,OpenAI,2023,v2.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,API,Open,1,Medium,119429657,Medium,Enterprise
Helios-4,AI Labs,2022,v3.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,0,Open,Research,1,Small,245460418,High,Research
Orion-8,Anthropic,2023,v1.2,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,Closed,Commercial,0,Large,236373136,High,Enterprise
Nova-2,Meta AI,2018,v4.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,1,Closed,Commercial,0,Medium,44069444,Low,Research
Orion-7,Google AI,2025,v2.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,0,API,Research,1,Medium,133694191,High,Research
Nova-8,Google AI,2021,v4.6,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,0,API,Open,0,Medium,259358171,High,Research
Nova-6,OpenAI,2021,v1.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,Closed,Open,0,Medium,131507592,Low,Enterprise
Nimbus-8,NeuralWorks,2020,v3.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,0,API,Open,1,Large,33240352,Low,Research
Atlas-9,Google AI,2020,v4.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,0,Open,Open,1,Medium,73333785,Medium,Enterprise
Cosmos-8,AI Labs,2022,v5.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,1,API,Commercial,1,Large,298705824,Low,Research
Vertex-3,Mistral AI,2022,v3.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,1,API,Research,0,Large,196461382,High,Research
Zenith-2,AI Labs,2024,v2.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,1,Closed,Open,1,Small,52677207,High,Research
Neptune-1,Meta AI,2020,v1.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,0,Open,Open,1,Large,264018232,High,Open-Source
Nimbus-5,OpenAI,2023,v2.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,1,Open,Commercial,0,Medium,224313174,Medium,Open-Source
Aurora-5,AI Labs,2018,v1.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,0,API,Research,1,Small,104680215,High,Open-Source
Nova-3,AI Labs,2024,v1.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,Open,Research,1,Large,182200841,High,Open-Source
Vertex-8,Baidu,2023,v5.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,1,API,Research,0,Medium,296407153,High,Research
Zenith-8,Mistral AI,2024,v1.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,Open,Commercial,0,Small,170063161,Low,Enterprise
Orion-9,AI Labs,2020,v1.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,Closed,Commercial,0,Small,138569861,Medium,Open-Source
Nimbus-7,NeuralWorks,2021,v1.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,0,API,Open,1,Small,205841009,Low,Research
Zenith-6,Cohere,2024,v1.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,1,API,Research,1,Large,81305161,Medium,Research
Nova-3,OpenAI,2024,v4.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,Closed,Research,0,Medium,45316070,Medium,Open-Source
Aurora-9,Cohere,2022,v1.6,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,API,Research,1,Medium,106280010,High,Open-Source
Vertex-4,Anthropic,2019,v3.6,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,Closed,Commercial,1,Small,173195096,Medium,Open-Source
Aurora-5,Meta AI,2023,v5.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,0,Open,Open,1,Small,47071276,Low,Open-Source
Aurora-4,NeuralWorks,2020,v3.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,1,Closed,Research,1,Small,289839481,Low,Open-Source
Vertex-9,DeepMind,2025,v5.2,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,1,Open,Research,1,Small,146643120,Low,Research
Aurora-2,Cohere,2022,v3.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,0,Closed,Open,0,Medium,261201011,High,Enterprise
Neptune-3,Anthropic,2025,v5.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,Closed,Commercial,0,Small,187176043,High,Open-Source
Zenith-5,Anthropic,2022,v1.4,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,0,Open,Commercial,1,Large,74691266,Low,Enterprise
Helios-9,NeuralWorks,2021,v4.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,1,Closed,Open,0,Small,75397707,High,Open-Source
Nova-3,DeepMind,2020,v4.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,0,Open,Commercial,0,Large,16828750,Medium,Open-Source
Helios-5,Mistral AI,2022,v2.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,API,Open,1,Large,124969584,High,Enterprise
Nova-1,Baidu,2019,v4.2,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,1,Closed,Commercial,0,Small,104755583,Low,Research
Helios-1,DeepMind,2024,v2.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,1,API,Commercial,1,Medium,133491065,Medium,Research
Aurora-7,Baidu,2024,v5.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,Open,Research,1,Large,22073052,High,Enterprise
Vertex-1,Anthropic,2022,v4.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,0,Closed,Commercial,0,Large,278545966,Low,Enterprise
Cosmos-2,AI Labs,2019,v2.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,1,Closed,Research,0,Medium,109411419,Medium,Enterprise
Orion-6,Meta AI,2019,v1.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,1,API,Open,0,Medium,296464698,Medium,Research
Atlas-6,NeuralWorks,2020,v2.2,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,1,Closed,Open,1,Medium,98010440,Low,Research
Nova-1,NeuralWorks,2022,v1.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,1,Open,Research,1,Medium,221198338,Medium,Research
Nimbus-1,Anthropic,2022,v5.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,0,Open,Open,1,Small,79047292,Low,Research
Nimbus-5,Baidu,2019,v1.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,API,Open,0,Medium,194374806,Low,Open-Source
Orion-6,Baidu,2024,v1.6,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,0,Open,Open,1,Medium,283959283,Medium,Research
Nova-4,NeuralWorks,2018,v1.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,1,API,Commercial,1,Large,190973566,Low,Open-Source
Nimbus-8,AI Labs,2025,v4.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,0,Open,Research,1,Large,64310889,High,Open-Source
Nimbus-7,Cohere,2018,v3.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,1,Closed,Research,1,Medium,273026922,High,Research
Aurora-2,Baidu,2023,v4.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,1,Closed,Open,1,Medium,20090190,High,Enterprise
Cosmos-3,Mistral AI,2023,v4.6,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,0,Open,Open,1,Medium,36547854,Low,Research
Aurora-6,Cohere,2020,v5.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,API,Commercial,0,Medium,223194533,Low,Enterprise
Nova-6,Mistral AI,2022,v2.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,Open,Research,0,Medium,272653833,Low,Enterprise
Vertex-3,Anthropic,2023,v4.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,API,Open,0,Small,20623994,Medium,Enterprise
Vertex-2,OpenAI,2022,v1.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,0,Open,Open,1,Small,168580443,High,Enterprise
Zenith-4,Anthropic,2022,v3.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,1,Open,Research,1,Small,9190884,High,Research
Vertex-2,Anthropic,2023,v5.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,0,Open,Research,1,Large,182859059,High,Open-Source
Aurora-3,OpenAI,2025,v1.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,Closed,Research,1,Large,191924349,Medium,Enterprise
Nova-9,Google AI,2025,v5.2,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,1,Closed,Open,1,Medium,125389883,Low,Enterprise
Nimbus-5,Baidu,2024,v2.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,0,Open,Commercial,0,Medium,257974380,Medium,Research
Orion-6,NeuralWorks,2020,v5.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,0,Closed,Open,1,Medium,222964932,Low,Research
Nova-9,Meta AI,2025,v4.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,1,API,Commercial,0,Small,42819239,High,Open-Source
Nimbus-8,Google AI,2025,v3.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,1,Closed,Research,0,Large,204426303,Medium,Open-Source
Aurora-2,Anthropic,2020,v5.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,Closed,Open,1,Small,111413774,High,Enterprise
Orion-5,Cohere,2023,v1.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,1,Open,Commercial,0,Small,193867993,Low,Enterprise
Aurora-4,Cohere,2024,v3.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,0,API,Research,1,Small,102053512,High,Enterprise
Zenith-7,Meta AI,2022,v2.2,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,API,Commercial,1,Small,46453340,Low,Enterprise
Helios-8,NeuralWorks,2024,v5.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,1,Closed,Research,0,Medium,4988947,High,Open-Source
Nova-9,DeepMind,2024,v5.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,API,Commercial,0,Large,259521011,High,Enterprise
Atlas-9,DeepMind,2025,v5.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,0,API,Open,1,Large,29332970,Medium,Research
Aurora-8,Mistral AI,2025,v5.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,1,Open,Research,1,Large,140824347,Low,Open-Source
Cosmos-3,NeuralWorks,2018,v3.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,0,Open,Open,0,Medium,136318839,Low,Open-Source
Orion-5,DeepMind,2018,v1.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,Open,Commercial,0,Medium,98071193,High,Open-Source
Zenith-2,Meta AI,2020,v4.6,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,0,Open,Open,1,Small,142946248,Low,Research
Atlas-8,Cohere,2025,v3.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,1,Closed,Research,1,Small,156044141,Medium,Research
Zenith-9,OpenAI,2019,v5.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,1,Closed,Research,1,Large,210999079,Medium,Enterprise
Nova-4,AI Labs,2023,v2.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,0,Closed,Research,0,Large,240413397,Medium,Open-Source
Orion-5,Anthropic,2018,v1.9,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,0,API,Research,0,Large,70743426,Medium,Research
Nimbus-3,Google AI,2020,v3.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,1,Closed,Open,1,Medium,87954849,Low,Open-Source
Aurora-7,Cohere,2023,v1.4,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,0,Closed,Research,1,Small,265171250,Low,Enterprise
Vertex-7,Anthropic,2019,v4.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,0,API,Open,1,Medium,11074269,Medium,Research
Aurora-1,Cohere,2022,v2.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,1,Closed,Commercial,0,Large,122250602,Low,Research
Cosmos-2,NeuralWorks,2023,v3.4,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,API,Commercial,0,Medium,156670375,High,Enterprise
Atlas-9,OpenAI,2024,v2.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,1,Open,Open,1,Large,102717978,Low,Research
Nova-1,NeuralWorks,2021,v4.6,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,1,Open,Research,1,Small,182311292,High,Research
Helios-2,Anthropic,2025,v5.2,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,0,Closed,Open,0,Medium,25589598,Low,Research
Atlas-1,Meta AI,2018,v3.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,0,Open,Commercial,0,Small,109792135,Medium,Open-Source
Helios-6,Google AI,2020,v3.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,0,Open,Commercial,0,Medium,91221612,High,Enterprise
Vertex-3,Mistral AI,2021,v5.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,0,Open,Commercial,0,Small,4878354,Low,Enterprise
Nimbus-5,Cohere,2025,v2.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,1,Open,Research,0,Large,97637015,High,Research
Nimbus-2,DeepMind,2023,v4.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,API,Commercial,0,Medium,112727510,Medium,Enterprise
Nova-2,Meta AI,2025,v4.2,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,1,Closed,Research,1,Medium,180473061,High,Research
Aurora-2,OpenAI,2020,v2.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,0,API,Commercial,1,Medium,107703842,High,Enterprise
Zenith-4,Google AI,2023,v2.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,1,Open,Research,1,Large,261064412,Low,Open-Source
Atlas-4,NeuralWorks,2025,v2.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,0,API,Commercial,1,Small,181330290,Low,Enterprise
Nimbus-1,DeepMind,2020,v1.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,1,Open,Commercial,0,Large,92233417,High,Research
Nova-2,Cohere,2025,v2.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,API,Commercial,0,Small,176715673,Medium,Open-Source
Nova-3,NeuralWorks,2018,v4.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,1,API,Commercial,1,Large,53612922,Medium,Open-Source
